167 dispersion energies	qa	qb	eV	eV	vs 221		qa	qb		eV	vs 221		qa	qb		eV	vs221		221	0.1	0.2	0.3
C_0.1	0.5	1.5	-13.96064786	-27.92129571	3.069131995	C_0.2	0.5	1.5	-14.23847227	-28.47694453	3.090252915	C_0.3	0.5	1.5	-15.51701245	-31.03402489	2.133899975			-17.02977985	-17.32872518	-17.65091242
	0.5	1.6	-17.3630518	-34.72610359	1.894400485		0.5	1.6	-17.12409828	-34.24819655	2.459486555		0.5	1.6	-16.31815529	-32.63631058	3.61727425			-19.25745228	-19.58358483	-19.93542954
	0.5	1.7	-18.87205542	-37.74411083	2.775849955		0.5	1.7	-18.29918188	-36.59836375	3.704295885		0.5	1.7	-18.86012388	-37.72024775	3.527979435			-21.64790537	-22.00347776	-22.38810331
	0.5	1.8	-21.02669006	-42.05338011	3.178265225		0.5	1.8	-20.3718406	-40.7436812	4.22070233		0.5	1.8	-21.70217041	-43.40434081	3.307185535			-24.20495528	-24.59254293	-25.00935594
	0.5	1.9	-23.32303921	-46.64607841	3.609117315		0.5	1.9	-23.65551718	-47.31103436	3.69649766		0.5	1.9	-24.04719662	-48.09439324	3.75648971			-26.93215652	-27.35201484	-27.80368633
	0.5	2	-26.53744212	-53.07488423	3.294131435		0.5	2	-24.18521396	-48.37042791	6.100638895		0.5	2	-26.53816521	-53.07633042	4.23791493			-29.83157355	-30.28585285	-30.77608014
	0.5	2.1	-26.09512469	-52.19024937	6.811502465		0.5	2.1	-28.73065076	-57.46130152	4.66767742		0.5	2.1	-29.17726436	-58.35452871	4.749043615			-32.90662715	-33.39832818	-33.92630797
	0.5	2.2	-31.08730528	-62.17461055	5.073637245		0.5	2.2	-31.49207714	-62.98415428	5.19811855		0.5	2.2	-31.96734693	-63.93469385	5.291232945			-36.16094252	-36.69019569	-37.25857987
	0.5	2.3	-33.97504073	-67.95008145	5.621040585		0.5	2.3	-34.4056644	-68.8113288	5.75953345		0.5	2.3	-34.91089676	-69.82179351	5.865274835			-39.59608131	-40.16519785	-40.77617159
	0.5	2.4	-37.01706468	-74.03412935	6.198445485		0.5	2.4	-37.47448797	-74.94897593	6.351934565		0.5	2.4	-35.21244977	-70.42489953	9.274121525			-43.21551016	-43.82642253	-44.48657129
	0.5	2.5	-36.8521255	-73.70425099	10.16994766		0.5	2.5	-40.70029009	-81.40058018	6.97946038		0.5	2.5	-42.30026427	-84.60052854	6.083767			-47.02207315	-47.67975047	-48.38403127
	0.6	1.5	-16.25796714	-32.51593428	2.00824305		0.6	1.5	-16.51343916	-33.02687831	2.066552015		0.6	1.5	-16.80880191	-33.61760382	2.10989638			-18.26621019	-18.57999117	-18.91869829
	0.6	1.6	-18.54916077	-37.09832154	2.01002839		0.6	1.6	-17.57056671	-35.14113341	3.330843195		0.6	1.6	-18.10786483	-36.21572966	3.16250572			-20.55918916	-20.9014099	-21.27037055
	0.6	1.7	-20.26398294	-40.52796587	2.752694135		0.6	1.7	-19.58919662	-39.17839323	3.799719165		0.6	1.7	-20.89906381	-41.79812761	2.892284165			-23.01667707	-23.38891578	-23.79134797
	0.6	1.8	-22.47499372	-44.94998743	3.166783965		0.6	1.8	-21.70071164	-43.40142328	4.34596637		0.6	1.8	-23.15518614	-46.31037228	3.32672182			-25.64177768	-26.04667801	-26.48190796
	0.6	1.9	-23.39473204	-46.78946408	5.04332321		0.6	1.9	-23.94956012	-47.89912024	4.92627426		0.6	1.9	-25.55453188	-51.10906375	3.792070845			-28.43805525	-28.87583438	-29.34660272
	0.6	2	-28.4419444	-56.88388879	2.965578175		0.6	2	-25.76209422	-51.52418843	6.118281895		0.6	2	-28.10094246	-56.20188491	4.289821815			-31.40752257	-31.88037611	-32.39076427
	0.6	2.1	-27.74391402	-55.48782804	6.80969784		0.6	2.1	-30.35360103	-60.70720206	4.71119608		0.6	2.1	-30.79664579	-61.59329158	4.81653064			-34.55361186	-35.06479711	-35.61317643
